# of Units,Incident Alarm Time,Problem Type,Location,Location Type
1,05/10/2018 15:23:35,"EMS call, excluding vehicle accident with injury",501 N Edward Gary ST ,Graded and cared-for plots of land
4,05/10/2018 15:42:41,Motor vehicle accident with no injuries,209  SB  ,Highway or divided highway
1,05/10/2018 16:20:29,"EMS call, excluding vehicle accident with injury",1901 N IH 35  ,"Service station, gas station"
1,05/11/2018 0:02:40,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/11/2018 5:24:52,"EMS call, excluding vehicle accident with injury",1800  Post RD ,1 or 2 family dwelling
0,05/11/2018 6:41:59,Assist invalid,403  Patricia DR ,1 or 2 family dwelling
1,05/11/2018 7:38:32,"EMS call, excluding vehicle accident with injury",713  Lago Vista  ,1 or 2 family dwelling
1,05/11/2018 10:04:41,Motor vehicle accident with no injuries,  Sherbarb ST ,Highway or divided highway
2,05/11/2018 11:06:48,"Medical assist, assist EMS crew",2600  Hunter RD ,Multifamily dwellings
0,05/11/2018 11:17:24,"EMS call, excluding vehicle accident with injury",1241 W Hopkins ST ,1 or 2 family dwelling
1,05/11/2018 11:45:33,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"General retail, other"
1,05/11/2018 14:49:30,"EMS call, excluding vehicle accident with injury",1015  Hwy 80  ,"General retail, other"
1,05/11/2018 15:04:32,"EMS call, excluding vehicle accident with injury",4015 S IH 35  ,"Textile, wearing apparel sales"
0,05/11/2018 16:23:50,"EMS call, excluding vehicle accident with injury",1600 N IH 35  ,"24-hour care Nursing homes, 4 or more persons"
2,05/11/2018 18:18:09,Bomb scare - no bomb, W San Antonio ST ,Vehicle parking area
1,05/11/2018 18:27:38,"Good intent call, other",503  Springtown WAY ,Multifamily dwellings
1,05/11/2018 19:29:02,Vehicle accident with injuries,  Hwy 80  ,Street or road in commercial area
1,05/11/2018 20:22:36,EMS: Dispatched & cancelled en route,900  Bugg LN ,Vehicle parking area
1,05/11/2018 21:33:36,Motor vehicle accident with no injuries,2100  River RD ,"Residential street, road or residential driveway"
0,05/11/2018 21:55:17,"EMS call, excluding vehicle accident with injury",1303 S IH 35  ,Restaurant or cafeteria
1,05/11/2018 22:29:19,Gas leak (natural gas or LPG),214  Ellis ST ,1 or 2 family dwelling
2,05/11/2018 23:37:25,Smoke detector activation due to malfunction,2600  Hunter RD ,Multifamily dwellings
1,05/12/2018 1:01:20,Gas leak (natural gas or LPG),2115  River RD ,"Residential street, road or residential driveway"
1,05/12/2018 3:21:16,"Person in distress, other",211  Orchard ST ,1 or 2 family dwelling
0,05/12/2018 6:25:35,"EMS call, excluding vehicle accident with injury",518  Linda DR ,Multifamily dwellings
1,05/12/2018 8:17:40,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,05/12/2018 9:55:44,"Medical assist, assist EMS crew",210 S Stagecoach TRL ,Post office or mailing firms
1,05/12/2018 11:28:34,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,05/12/2018 12:16:10,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
1,05/12/2018 12:54:51,Gas leak (natural gas or LPG),200  Springtown WAY ,Multifamily dwellings
1,05/12/2018 13:32:34,"EMS call, excluding vehicle accident with injury",2600  Hunter RD ,Multifamily dwellings
1,05/12/2018 13:57:23,"Good intent call, other",1203  Thorpe LN ,Street or road in commercial area
2,05/12/2018 14:31:51,Assist police or other governmental agency,200  SB  ,Highway or divided highway
1,05/12/2018 14:56:28,Motor vehicle accident with no injuries,205  SB  ,Highway or divided highway
2,05/12/2018 15:47:18,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
3,05/12/2018 17:22:06,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
1,05/12/2018 19:00:31,"Medical assist, assist EMS crew",1001 E McCarty LN ,"Hotel/motel, commercial"
0,05/12/2018 19:13:30,"EMS call, excluding vehicle accident with injury",700  Aquarena Springs DR ,"Lake, river, stream"
1,05/12/2018 19:23:15,"EMS call, excluding vehicle accident with injury",755  River RD ,Multifamily dwellings
1,05/12/2018 20:13:20,"EMS call, excluding vehicle accident with injury",1210 S IH 35  ,Restaurant or cafeteria
1,05/13/2018 1:50:54,"EMS call, excluding vehicle accident with injury",100  Warden LN ,Multifamily dwellings
2,05/13/2018 3:22:44,Smoke detector activation due to malfunction,1350  Sadler DR ,Multifamily dwellings
1,05/13/2018 10:10:15,"EMS call, excluding vehicle accident with injury",100 S LBJ DR ,"Parking garage, general vehicle"
1,05/13/2018 13:44:44,"System malfunction, other",1800  Post RD ,Multifamily dwellings
1,05/13/2018 14:11:43,Assist invalid,2300  Ridge Crest  ,1 or 2 family dwelling
1,05/13/2018 14:36:43,"Person in distress, other",600  Leah AVE ,Multifamily dwellings
1,05/13/2018 14:41:38,Motor vehicle accident with no injuries,  Aquarena Springs DR ,Street or road in commercial area
1,05/13/2018 14:50:30,"EMS call, excluding vehicle accident with injury",2600  Hwy 21  ,"Outside or special property, other"
1,05/13/2018 15:04:28,"EMS call, excluding vehicle accident with injury",1640  Aquarena Springs DR ,Multifamily dwellings
1,05/13/2018 15:18:38,Assist invalid,1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/13/2018 16:08:29,"Smoke scare, odor of smoke",641 E Hopkins ST ,"Parking garage, general vehicle"
3,05/13/2018 16:46:32,Grass fire,  Staples RD ,"Street, other"
2,05/13/2018 16:48:08,"EMS call, excluding vehicle accident with injury",1502 S IH 35  ,Restaurant or cafeteria
2,05/13/2018 17:57:46,"Malicious, mischievous false call, other",4210 S IH 35  ,"Hotel/motel, commercial"
2,05/13/2018 19:43:43,Vehicle accident with injuries,203  SB  ,Highway or divided highway
1,05/13/2018 19:48:47,Dispatched & cancelled en route,314  Ellis ST ,1 or 2 family dwelling
1,05/13/2018 22:18:30,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,05/14/2018 1:30:12,"EMS call, excluding vehicle accident with injury",211  Orchard ST ,1 or 2 family dwelling
1,05/14/2018 2:47:53,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/14/2018 6:10:54,Assist invalid,1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/14/2018 6:33:13,No incident found on arrival at dispatch address,900  Peques ST ,Vehicle parking area
2,05/14/2018 12:21:51,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
2,05/14/2018 13:02:14,"Medical assist, assist EMS crew",2301 N IH 35  ,Industrial plant yard - area
1,05/14/2018 17:19:19,Gas leak (natural gas or LPG),200  Springtown WAY ,Construction site
1,05/14/2018 18:45:08,"EMS call, excluding vehicle accident with injury",704  Bracewood CIR ,Multifamily dwellings
1,05/14/2018 19:43:54,"Medical assist, assist EMS crew",1201  Thorpe LN ,Multifamily dwellings
1,05/14/2018 21:01:18,Dispatched & cancelled en route,1401 E McCarty LN ,"Manufacturing, processing"
1,05/14/2018 22:26:01,Dispatched & cancelled en route,1401 E McCarty LN ,"Manufacturing, processing"
1,05/14/2018 23:52:44,Dispatched & cancelled en route,1441  Leah AVE ,Vehicle parking area
1,05/15/2018 7:00:45,Vehicle accident with injuries,  Clovis Barker RD ,Highway or divided highway
1,05/15/2018 7:53:22,Police matter,1811  Medical PKWY ,Multifamily dwellings
1,05/15/2018 8:30:26,"EMS call, excluding vehicle accident with injury",312  Cordero DR ,1 or 2 family dwelling
1,05/15/2018 10:53:42,Dispatched & cancelled en route,  Chestnut ST ,"Residential street, road or residential driveway"
2,05/15/2018 11:38:28,Motor vehicle accident with no injuries,199  SB  ,Highway or divided highway
1,05/15/2018 13:41:27,"EMS call, excluding vehicle accident with injury",100  Carlson CIR ,"Public or government, other"
1,05/15/2018 14:03:26,Dispatched & cancelled en route, N Bishop ST ,"Residential street, road or residential driveway"
3,05/15/2018 16:32:19,Hazmat release investigation w/ no hazmat,2406  Hunter RD ,"Manufacturing, processing"
1,05/15/2018 18:31:58,"Medical assist, assist EMS crew",228 W Sierra CIR ,1 or 2 family dwelling
1,05/15/2018 20:19:19,"Medical assist, assist EMS crew",801 N LBJ DR ,"Residential street, road or residential driveway"
1,05/15/2018 21:06:02,"Medical assist, assist EMS crew",6  Timbercrest  ,1 or 2 family dwelling
2,05/15/2018 21:39:47,No incident found on arrival at dispatch address,  Hines ST ,1 or 2 family dwelling
2,05/15/2018 22:50:02,No incident found on arrival at dispatch address,401 N Fredericksburg ST ,Multifamily dwellings
2,05/15/2018 23:36:38,Dispatched & cancelled en route,2 N LBJ DR ,"Residential street, road or residential driveway"
1,05/15/2018 23:53:40,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,05/16/2018 5:06:16,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
1,05/16/2018 7:44:38,Vehicle accident with injuries, S Guadalupe ST ,Street or road in commercial area
1,05/16/2018 9:31:46,"EMS call, excluding vehicle accident with injury",109 E McCarty LN ,"Ballroom, gymnasium"
2,05/16/2018 10:33:41,"Medical assist, assist EMS crew",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
3,05/16/2018 10:35:45,"EMS call, excluding vehicle accident with injury",1301  Wonder World DR ,Hospital - medical or psychiatric
2,05/16/2018 13:10:48,"Hazardous condition, other",  Wonder World DR ,Highway or divided highway
3,05/16/2018 16:03:12,Vehicle accident with injuries,213  Nb35 IH ,Highway or divided highway
2,05/16/2018 17:49:08,Assist police or other governmental agency,206 E Access RD ,Highway or divided highway
2,05/16/2018 17:58:00,Motor vehicle accident with no injuries,204 E Access RD ,Highway or divided highway
1,05/16/2018 19:33:05,"EMS call, excluding vehicle accident with injury",1925  Stonehaven  ,1 or 2 family dwelling
1,05/16/2018 19:49:04,"EMS call, excluding vehicle accident with injury",1811  Medical PKWY ,Multifamily dwellings
1,05/16/2018 20:41:16,Gas leak (natural gas or LPG),108  Clemens ST ,"Residential street, road or residential driveway"
1,05/16/2018 21:01:00,"Steam, other gas mistaken for smoke, other",1900  Los Santos DR ,"Street, other"
1,05/17/2018 1:29:31,No incident found on arrival at dispatch address,328  Lookout Ridge LP ,1 or 2 family dwelling
1,05/17/2018 7:42:24,"EMS call, excluding vehicle accident with injury",300 S Stagecoach TRL ,Multifamily dwellings
1,05/17/2018 8:03:11,Smoke or odor removal,1000  Leah AVE ,Multifamily dwellings
0,05/17/2018 9:03:22,"EMS call, excluding vehicle accident with injury",319  Durango ST ,1 or 2 family dwelling
2,05/17/2018 9:18:29,"Medical assist, assist EMS crew",713  Lago Vista  ,1 or 2 family dwelling
1,05/17/2018 14:34:08,"EMS call, excluding vehicle accident with injury",500  Parker DR ,Multifamily dwellings
1,05/17/2018 14:50:44,"EMS call, excluding vehicle accident with injury",201  Talbot ST ,"Adult education center, college classroom"
3,05/17/2018 15:42:39,Motor vehicle accident with no injuries,204  SB  ,Highway or divided highway
3,05/17/2018 16:16:02,Motor vehicle accident with no injuries,204  Sb35 IH ,Highway or divided highway
1,05/17/2018 16:47:44,"EMS call, excluding vehicle accident with injury",401  Carlson CIR ,Business office
0,05/17/2018 17:45:54,Assist police or other governmental agency,201  SB  ,Highway or divided highway
1,05/17/2018 18:48:36,"Medical assist, assist EMS crew",2220  Garden CT ,1 or 2 family dwelling
1,05/17/2018 20:01:46,"EMS call, excluding vehicle accident with injury",345  Champions BLVD ,Multifamily dwellings
1,05/17/2018 23:14:38,"EMS call, excluding vehicle accident with injury",409 E McCarty LN ,1 or 2 family dwelling
1,05/18/2018 2:16:51,"Medical assist, assist EMS crew",1818  Old Ranch Road 12  ,Multifamily dwellings
1,05/18/2018 11:29:23,"EMS call, excluding vehicle accident with injury",338 S Guadalupe ST ,Bus station
1,05/18/2018 11:44:57,"EMS call, excluding vehicle accident with injury",2301  Hunter RD ,Warehouse
1,05/18/2018 14:33:14,"EMS call, excluding vehicle accident with injury",1900  Medical PKWY ,"24-hour care Nursing homes, 4 or more persons"
1,05/18/2018 15:13:33,Vehicle accident with injuries,  Uhland RD ,"Residential street, road or residential driveway"
1,05/18/2018 15:49:49,No incident found on arrival at dispatch address,1600  Mockingbird DR ,1 or 2 family dwelling
3,05/18/2018 16:06:23,Motor vehicle accident with no injuries,204  NB  ,Highway or divided highway
2,05/18/2018 16:42:11,Motor vehicle accident with no injuries,202  NB  ,Highway or divided highway
1,05/18/2018 17:18:55,Dispatched & cancelled en route,  Hunter RD ,Street or road in commercial area
1,05/18/2018 18:11:22,"EMS call, excluding vehicle accident with injury",1720  Old Ranch Road 12  ,"24-hour care Nursing homes, 4 or more persons"
1,05/18/2018 21:10:17,"EMS call, excluding vehicle accident with injury",1401 E McCarty LN ,Warehouse
1,05/18/2018 21:13:41,"Emergency medical service, other",200 W Hopkins ST ,"Food and beverage sales, grocery store"
1,05/18/2018 22:29:33,Vehicle accident with injuries,2913  Hunter RD ,Street or road in commercial area
1,05/19/2018 3:40:16,Vehicle accident with injuries,244 W Sessom DR ,Street or road in commercial area
1,05/19/2018 6:36:52,"Medical assist, assist EMS crew",745  Foxtail RUN ,1 or 2 family dwelling
1,05/19/2018 7:21:10,Assist police or other governmental agency,244 W Sessom DR ,"Residential street, road or residential driveway"
2,05/19/2018 12:27:49,Motor vehicle accident with no injuries,6050 S Ih 35  ,Highway or divided highway
2,05/19/2018 18:55:03,"Sprinkler activation, no fire - unintentional",1850  Aquarena Springs DR ,Multifamily dwellings
2,05/19/2018 23:56:16,Vehicle accident with injuries,  Hwy 123  ,Highway or divided highway
0,05/20/2018 4:33:14,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
2,05/20/2018 4:43:24,Heat detector activation due to malfunction,900  Barnes DR ,"Hotel/motel, commercial"
2,05/20/2018 7:58:19,Motor vehicle accident with no injuries,  EXIT 208 NB  ,Highway or divided highway
1,05/20/2018 9:55:12,"False alarm or false call, other",1850  Aquarena Springs DR ,Multifamily dwellings
1,05/20/2018 10:10:18,"EMS call, excluding vehicle accident with injury",503  Springtown WAY ,Multifamily dwellings
1,05/20/2018 10:53:18,"EMS call, excluding vehicle accident with injury",4210 S IH 35  ,"Hotel/motel, commercial"
1,05/20/2018 11:40:06,"EMS call, excluding vehicle accident with injury",118  Wisteria WAY ,1 or 2 family dwelling
1,05/20/2018 11:43:06,"EMS call, excluding vehicle accident with injury",500  Parker DR ,1 or 2 family dwelling
1,05/20/2018 13:30:08,"Cooking fire, confined to container",400  Barnes DR ,"Manufacturing, processing"
1,05/20/2018 14:05:06,No incident found on arrival at dispatch address,119  Salas DR ,"Residential street, road or residential driveway"
1,05/20/2018 14:11:31,Vehicle accident with injuries,600  River RD ,"Residential street, road or residential driveway"
1,05/20/2018 14:40:50,"Detector activation, no fire - unintentional",1611  Clovis Barker RD ,"Manufacturing, processing"
1,05/20/2018 14:53:10,"EMS call, excluding vehicle accident with injury",521  Parkdale DR ,1 or 2 family dwelling
2,05/20/2018 17:27:19,Motor vehicle accident with no injuries,2213 S IH 35  ,Vehicle parking area
1,05/20/2018 17:56:17,"EMS call, excluding vehicle accident with injury",600  Leah AVE ,Multifamily dwellings
1,05/20/2018 21:00:26,"EMS call, excluding vehicle accident with injury",1285 S IH 35  ,Restaurant or cafeteria
1,05/20/2018 23:23:34,Police matter,317  Craddock AVE ,Multifamily dwellings
1,05/21/2018 2:23:09,"EMS call, excluding vehicle accident with injury",1351  Sadler DR ,"24-hour care Nursing homes, 4 or more persons"
1,05/21/2018 3:26:08,"EMS call, excluding vehicle accident with injury",1401  Wonder World DR ,"24-hour care Nursing homes, 4 or more persons"
